legalDocumentField	isRequired	bit	1	1	0	0	0	6
legalDocumentField	displayOrder	int	4	10	0	0	0	7
legalDocumentField	labelEN	varchar	200	0	0	1	0	8
legalDocumentField	idCatalog	int	4	10	0	1	0	9
loan	idLoan	int	4	10	0	0	1	1
loan	idVicionario	int	4	10	0	0	0	2
loan	loanMoneyAmount	decimal	9	19	8	0	0	3
loan	paidMoneyAmount	decimal	9	19	8	1	0	4
loan	currentDebtAmount	decimal	9	19	8	0	0	5
loan	creationTime	datetime	8	23	3	0	0	6
loan	idPersonRegister	int	4	10	0	0	0	7
loan	idRetentionType	int	4	10	0	0	0	8
loan	idStatus	int	4	10	0	0	0	9
loan	updateTime	datetime	8	23	3	1	0	10
loan	description	varchar	255	0	0	1	0	11
loan	idPaymentPeriodicity	int	4	10	0	1	0	12
loan	idMovement	int	4	10	0	1	0	13
loan	registerMovement	bit	1	1	0	1	0	14
loan	idMotivo	int	4	10	0	1	0	15
loanRequest	idLoanRequest	int	4	10	0	0	1	1
loanRequest	idVicionario	int	4	10	0	0	0	2
loanRequest	loanMoneyAmount	decimal	9	19	2	0	0	3
loanRequest	idRetentionType	int	4	10	0	1	0	4
loanRequest	idPaymentPeriodicity	int	4	10	0	0	0	5
loanRequest	descriptionRequest	varchar	255	0	0	1	0	6
loanRequest	creationTime	datetime	8	23	3	0	0	7
loanRequest	idPersonUpdate	int	4	10	0	1	0	8
loanRequest	updateTime	datetime	8	23	3	1	0	9
loanRequest	idStatus	int	4	10	0	0	0	10
loanRequest	remark	varchar	255	0	0	1	0	11
loanRequest	idLoan	int	4	10	0	1	0	12
loanRequest	idMotivo	int	4	10	0	1	0	13
logActivity	idLog	int	4	10	0	0	1	1
logActivity	creationTime	datetime	8	23	3	1	0	2
logActivity	idPerson	int	4	10	0	1	0	3
logActivity	ip	varchar	15	0	0	1	0	4
logActivity	description	varchar	1000	0	0	1	0	5
logActivity	idEvent	int	4	10	0	1	0	6
logDeleteInactivePerson	idPerson	int	4	10	0	0	0	1
logDeleteInactivePerson	idVicionario	int	4	10	0	0	0	2
logDeleteInactivePerson	username	varchar	255	0	0	1	0	3
logDeleteInactivePerson	creationTimeRegister	datetime	8	23	3	1	0	4
logDeleteInactivePerson	idRole	int	4	10	0	1	0	5
logDeleteInactivePerson	idStatus	int	4	10	0	1	0	6
logDeleteInactivePerson	timeDelete	datetime	8	23	3	1	0	7
logDetailVicionarioNetwork	idLogDetailVicionarioNetwork	int	4	10	0	0	1	1
logDetailVicionarioNetwork	creationTime	datetime	8	23	3	1	0	2
logDetailVicionarioNetwork	idVicionario	int	4	10	0	1	0	3
logDetailVicionarioNetwork	idVicionarioPackage	int	4	10	0	1	0	4
logDetailVicionarioNetwork	idVicionarioNetwork	int	4	10	0	1	0	5
logDetailVicionarioNetwork	pointsLeft	int	4	10	0	1	0	6
logDetailVicionarioNetwork	pointsRight	int	4	10	0	1	0	7
logDetailVicionarioNetwork	idRank	int	4	10	0	1	0	8
logDetailVicionarioNetwork	idLogVicionarioNetwork	int	4	10	0	0	0	9
logPersonHistory	idLogPersonHistory	int	4	10	0	0	1	1
logPersonHistory	idPerson	int	4	10	0	0	0	2
logPersonHistory	firstName	varchar	255	0	0	0	0	3
logPersonHistory	lastName	varchar	255	0	0	0	0	4
logPersonHistory	idGender	int	4	10	0	1	0	5
logPersonHistory	birthday	date	3	10	0	1	0	6
logPersonHistory	email	varchar	255	0	0	0	0	7
logPersonHistory	idCountryPhone	int	4	10	0	1	0	8
logPersonHistory	phoneNumber	varchar	20	0	0	0	0	9
logPersonHistory	idCountryBirthday	int	4	10	0	1	0	10
logPersonHistory	username	varchar	255	0	0	1	0	11
logPersonHistory	password	varchar	255	0	0	1	0	12
logPersonHistory	idRole	int	4	10	0	0	0	13
logPersonHistory	idStatus	int	4	10	0	0	0	14
logPersonHistory	blackList	bit	1	1	0	0	0	15
logPersonHistory	idPersonEditor	int	4	10	0	1	0	16
logPersonHistory	fullNamePersonEditor	varchar	255	0	0	1	0	17
logPersonHistory	usernamePersonEditor	varchar	255	0	0	1	0	18
logPersonHistory	creationTime	datetime	8	23	3	1	0	19
logPersonHistory	fieldsUpdated	varchar	500	0	0	1	0	20
logPersonHistory	alias	varchar	255	0	0	1	0	21
logPersonStatus	idLogPersonStatus	int	4	10	0	0	1	1
logPersonStatus	idVicionario	int	4	10	0	1	0	2
logPersonStatus	idPerson	int	4	10	0	0	0	3
logPersonStatus	idStatusVicionario	int	4	10	0	1	0	4
logPersonStatus	idStatusPerson	int	4	10	0	1	0	5
logPersonStatus	newIdStatusVicionario	int	4	10	0	1	0	6
logPersonStatus	newIdStatusPerson	int	4	10	0	1	0	7
logPersonStatus	creationTime	datetime	8	23	3	1	0	8
logPersonStatus	idPersonEditor	int	4	10	0	1	0	9
logPersonStatus	motive	varchar	255	0	0	1	0	10
logRoi	idLogRoi	int	4	10	0	0	1	1
logRoi	logRoiDate	date	3	10	0	0	0	2
logRoi	startTime	datetime	8	23	3	1	0	3
logRoi	finishTime	datetime	8	23	3	1	0	4
logRoi	processCode	varchar	50	0	0	1	0	5
logRoi	errorMessage	nvarchar	8000	0	0	1	0	6
logVicionarioKycHistory	idLogVicionarioKycHistory	int	4	10	0	0	1	1
logVicionarioKycHistory	idVicionario	int	4	10	0	0	0	2
logVicionarioKycHistory	idDocument	int	4	10	0	0	0	3
logVicionarioKycHistory	creationTime	datetime	8	23	3	1	0	4
logVicionarioKycHistory	idStatus	int	4	10	0	1	0	5
logVicionarioKycHistory	idPersonUpdateStatus	int	4	10	0	1	0	6
logVicionarioKycHistory	updateTime	datetime	8	23	3	1	0	7
logVicionarioKycHistory	attachedSelfieSize	decimal	9	19	2	1	0	8
logVicionarioKycHistory	attachedSelfieS3	bit	1	1	0	1	0	9
logVicionarioKycHistory	attachedSelfieS3Key	varchar	300	0	0	1	0	10
logVicionarioKycHistory	attachedSelfiePublicUrl	varchar	1000	0	0	1	0	11
logVicionarioKycHistory	attachedFrontSize	decimal	9	19	2	1	0	12
logVicionarioKycHistory	attachedFrontS3	bit	1	1	0	1	0	13
logVicionarioKycHistory	attachedFrontS3Key	varchar	300	0	0	1	0	14
logVicionarioKycHistory	attachedFrontPublicUrl	varchar	1000	0	0	1	0	15
logVicionarioKycHistory	attachedBackSize	decimal	9	19	2	1	0	16
logVicionarioKycHistory	attachedBackS3	bit	1	1	0	1	0	17
logVicionarioKycHistory	attachedBackS3Key	varchar	300	0	0	1	0	18
logVicionarioKycHistory	attachedBackPublicUrl	varchar	1000	0	0	1	0	19
logVicionarioKycHistory	resultWSRekognition	decimal	9	19	2	1	0	20
logVicionarioKycHistory	resultWSTextract	varchar	-1	0	0	1	0	21
logVicionarioKycHistory	remark	varchar	500	0	0	1	0	22
logVicionarioKycHistory	acceptedPercentage	int	4	10	0	1	0	23
logVicionarioKycHistory	fullNamePersonEditor	varchar	255	0	0	1	0	24
logVicionarioKycHistory	usernamePersonEditor	varchar	255	0	0	1	0	25
logVicionarioKycStatus	idLogVicionarioKycStatus	int	4	10	0	0	1	1
logVicionarioKycStatus	idVicionario	int	4	10	0	1	0	2
logVicionarioKycStatus	idStatus	int	4	10	0	0	0	3
logVicionarioKycStatus	newIdStatus	int	4	10	0	1	0	4
logVicionarioKycStatus	idPersonUpdate	int	4	10	0	1	0	5
