bank_country	idBank	bank	idBank	fk_bank
vicionarioLeadershipBonusRecord	idRank	rank	idRank	FK_vlbr_rank
vicionarioLeadershipBonusRecord	idRightDirect	vicionario	idVicionario	FK_vlbr_rightDirect
vicionarioLeadershipBonusRecord	idVicionario	vicionario	idVicionario	FK_vlbr_vicionario
vicionarioLegalDocument	idStatus	catalog	idCatalog	fk_vld_catalog
vicionarioLegalDocument	idLegalDocument	legalDocument	idLegalDocument	fk_vld_legalDocument
vicionarioLegalDocument	idPersonUpdate	person	idPerson	fk_vld_person
vicionarioLegalDocument	idVicionario	vicionario	idVicionario	fk_vld_vicionario
vicionarioMoneyAccount	idVicionario	vicionario	idVicionario	fk_vicionarioMoneyAccount_1
vicionarioMoneyAccount	idtype	catalog	idCatalog	fk_vicionarioMoneyAccount_2
vicionarioMoneyAccount	idbank	catalog	idCatalog	fk_vicionarioMoneyAccount_3
vicionarioMoneyAccount	idasset	asset	idAsset	fk_vicionarioMoneyAccount_4
vicionarioNewUserMigracion	idVicionario	vicionario	idVicionario	fk_vicionarioNewUserMigracion_1
vicionarioNewUserMigracion	idPerson	person	idPerson	fk_vicionarioNewUserMigracion_2
vicionarioPackage	idVicionario	vicionario	idVicionario	fk_vicionarioPackage_1
vicionarioPackage	idPackage	package	idPackage	fk_vicionarioPackage_2
vicionarioPackage	idStatus	catalog	idCatalog	fk_vicionarioPackage_3
vicionarioPackage	idPersonUpdate	person	idPerson	fk_vicionarioPackage_4
vicionarioPackage	idPaymentMethod	catalog	idCatalog	fk_vicionarioPackage_5
vicionarioPackage	idPeriodicity	catalog	idCatalog	fk_vicionarioPackage_6
vicionarioPackageAvailableMovement	idVicionarioPackage	vicionarioPackage	idVicionarioPackage	fk_vicionarioPackageAvailableMovement_1
vicionarioPackagePermission	idPersonEditor	person	idPerson	FK_VPP_Person
vicionarioPackagePermission	idVicionario	vicionario	idVicionario	FK_VPP_Vicionario
vicionarioRankRecord	idVicionario	vicionario	idVicionario	fk_memberrank1
vicionarioRankRecord	idRank	rank	idRank	fk_memberrank2
wallet	idVicionario	vicionario	idVicionario	fk_wallet_1
wallet	idAsset	asset	idAsset	fk_wallet_2
watchedNews	idNews	news	idNews	fk_new
watchedNews	idVicionario	vicionario	idVicionario	fk_vicionario_new
withdrawalRequest	idVicionario	vicionario	idVicionario	fk_withdrawalRequest_1
withdrawalRequest	idPaymentMethod	catalog	idCatalog	fk_withdrawalRequest_2
withdrawalRequest	idStatus	catalog	idCatalog	fk_withdrawalRequest_3
withdrawalRequest	idPersonUpdate	person	idPerson	fk_withdrawalRequest_4
withdrawalRequest	idMovement	movement	idMovement	fk_withdrawalRequest_5
withdrawalRequest	idVicionarioMoneyAccount	vicionarioMoneyAccount	idVicionarioMoneyAccount	withdrawalRequest_vicionarioMoneyAccount_FK
